arrived_at,num_prefill_tokens,num_decode_tokens
103.816,4741,541
103.816,7714,3
103.816,6338,3
103.816,6710,3
103.816,3143,18
103.816,4989,20
103.816,6673,3
106.869,28828,634
106.869,6568,3
106.869,3289,23
106.869,6180,3
106.869,6700,24
106.869,3171,18
106.869,3016,18
106.869,7559,3
106.869,7566,3
106.869,6417,27
106.869,11834,382
106.869,3145,20
106.869,3168,20
106.869,6677,26
106.869,6171,33
106.869,6714,3
106.869,6704,3
106.869,21393,384
106.869,3939,515
109.922,8503,38
109.922,6166,31
109.922,6193,3
109.922,3152,24
109.922,6173,32
109.922,26711,370
109.922,12583,387
109.922,1658,93
109.922,7059,3
109.922,3507,760
109.922,20181,124
109.922,14979,32
109.922,6172,29
109.922,13689,527
109.922,8036,457
112.978,9312,644
112.978,7224,3
112.978,7002,34
112.978,14306,57
112.978,7083,3
112.978,1057,60
112.978,9530,529
112.978,3178,19
112.978,33985,521
112.978,5234,111
112.978,6932,51
112.978,23969,553
112.978,6706,36
112.978,6883,366
112.978,6951,3
116.028,10597,123
116.028,6172,29
116.028,115593,271
116.028,24806,614
116.028,40531,356
116.028,7173,3
116.028,13705,394
116.028,7490,3
116.028,7040,3
116.028,20145,662
116.028,6300,104
116.028,4239,21
116.028,7294,3
116.028,6172,28
116.028,6056,128
119.084,898,200
119.084,1214,384
119.084,28618,372
119.084,7334,3
119.084,1884,407
119.084,7109,3
119.084,6165,23
119.084,1430,90
119.084,3137,23
119.084,6176,3
119.084,6277,3
119.084,3025,19
119.084,7491,3
122.137,6175,28
122.137,3106,15
122.137,6527,3
122.137,3381,21
122.137,892,349
122.137,35084,618
122.137,18878,327
122.137,6925,303
122.137,7984,3
122.137,894,354
122.137,8395,3
122.137,6674,24
122.137,893,301
122.137,6171,27
125.19,7180,41
125.19,6175,28
125.19,10240,504
125.19,3178,15
125.19,1173,401
125.19,7000,29
125.19,1409,369
125.19,19451,510
125.19,3119,21
128.242,3116,19
128.242,10045,172
128.242,8839,225
128.242,24630,110
128.242,6622,465
128.242,12740,347
128.242,66965,360
128.242,4314,221
128.242,6511,3
128.242,3153,21
128.242,1007,39
128.242,14100,267
128.242,6529,27
128.242,23836,383
128.242,3228,22
128.242,7074,3
131.299,6759,3
131.299,9579,300
131.299,14374,241
131.299,6166,25
131.299,16575,2000
131.299,3930,22
131.299,2969,14
131.299,4994,230
131.299,3128,20
131.299,3105,24
131.299,4172,24
131.299,7396,3
134.348,6800,26
134.348,1316,314
134.348,3122,17
134.348,6557,3
134.348,7268,3
134.348,11111,467
134.348,6668,3
134.348,9576,270
134.348,8339,455
134.348,6169,25
134.348,11645,324
134.348,3145,21
134.348,3208,23
134.348,6169,3
134.348,7077,3
134.348,997,125
134.348,5777,405
134.348,2532,241
134.348,9023,3
134.348,7086,33
134.348,20391,459
134.348,913,506
137.404,11936,413
